iter	Passed	Remaining
0	138	138443
1	139	69461
2	139	46479
3	140	34954
4	140	28037
5	141	23429
6	141	20137
7	142	17666
8	142	15744
9	143	14205
10	143	12945
11	144	11897
12	145	11013
13	145	10250
14	146	9591
15	146	9012
16	147	8504
17	147	8050
18	148	7643
19	148	7278
20	149	6948
21	149	6649
22	150	6374
23	150	6122
24	151	5891
25	151	5677
26	152	5480
27	152	5296
28	153	5125
29	153	4965
30	154	4815
31	154	4675
32	155	4543
33	155	4419
34	156	4302
35	156	4191
36	157	4087
37	157	3991
38	158	3896
39	158	3807
40	159	3721
41	159	3640
42	160	3563
43	160	3489
44	161	3418
45	161	3350
46	162	3286
47	162	3223
48	163	3164
49	163	3107
50	164	3052
51	164	3000
52	165	2949
53	165	2900
54	166	2852
55	166	2807
56	167	2763
57	167	2721
58	168	2680
59	168	2640
60	169	2602
61	169	2565
62	170	2528
63	170	2494
64	171	2460
65	171	2427
66	172	2395
67	172	2361
68	172	2331
69	173	2302
70	173	2274
71	174	2247
72	174	2220
73	175	2194
74	175	2168
75	176	2144
76	176	2119
77	177	2096
78	177	2073
79	178	2050
80	178	2029
81	179	2007
82	179	1986
83	180	1966
84	180	1944
85	181	1925
86	181	1905
87	182	1886
88	182	1868
89	183	1850
90	183	1833
91	184	1816
92	184	1799
93	185	1783
94	185	1767
95	186	1752
96	186	1736
97	187	1721
98	187	1706
99	188	1692
100	188	1677
101	188	1662
102	189	1648
103	189	1634
104	190	1621
105	190	1608
106	191	1595
107	191	1583
108	192	1571
109	192	1558
110	193	1547
111	193	1535
112	194	1524
113	194	1512
114	195	1501
115	195	1489
116	196	1479
117	196	1469
118	196	1458
119	197	1448
120	197	1438
121	198	1428
122	198	1416
123	199	1407
124	199	1397
125	200	1388
126	200	1379
127	200	1368
128	201	1359
129	201	1351
130	202	1342
131	202	1334
132	203	1325
133	203	1317
134	204	1309
135	204	1301
136	205	1293
137	205	1284
138	206	1277
139	206	1269
140	207	1262
141	207	1254
142	208	1247
