iter	Passed	Remaining
0	140	140665
1	141	70526
2	141	47142
3	142	35445
4	142	28451
5	143	23779
6	144	20446
7	144	17941
8	145	16059
9	146	14528
10	147	13255
11	148	12207
12	150	11406
13	150	10632
14	151	9955
15	152	9370
16	153	8855
17	153	8394
18	154	7983
19	155	7613
20	156	7278
21	156	6974
22	157	6696
23	158	6441
24	159	6206
25	159	5989
26	160	5788
27	161	5601
28	162	5428
29	162	5264
30	163	5122
31	164	4985
32	165	4853
33	166	4726
34	167	4605
35	167	4492
36	168	4383
37	169	4281
38	169	4183
39	170	4091
40	171	4003
41	171	3919
42	172	3840
43	173	3763
44	173	3690
45	174	3620
46	175	3553
47	175	3489
48	176	3428
49	177	3370
50	178	3313
51	179	3279
52	180	3227
53	181	3177
54	182	3127
55	182	3077
56	183	3030
57	183	2985
58	184	2946
59	185	2904
60	186	2864
61	186	2825
62	187	2787
63	188	2751
64	188	2716
65	189	2682
66	190	2651
67	191	2624
68	192	2595
69	193	2566
70	194	2540
71	194	2511
72	195	2483
73	196	2455
74	196	2427
75	197	2400
76	197	2373
77	198	2347
78	199	2322
79	199	2298
80	200	2273
81	201	2251
82	202	2233
83	216	2363
84	217	2342
85	218	2320
86	219	2299
87	219	2277
88	220	2257
89	221	2236
90	221	2215
91	222	2200
92	223	2182
93	224	2165
94	225	2144
95	225	2125
96	226	2107
97	226	2088
98	227	2070
99	228	2052
100	228	2034
101	229	2017
102	229	2000
103	230	1985
104	231	1969
105	231	1953
106	232	1938
107	232	1923
108	233	1909
109	234	1894
110	234	1880
111	235	1867
112	236	1853
113	237	1844
114	239	1842
115	240	1830
116	240	1817
117	241	1805
118	242	1793
119	242	1781
120	243	1768
121	243	1755
122	244	1743
123	245	1731
124	245	1719
125	246	1708
126	246	1697
127	247	1686
128	248	1676
129	248	1664
130	249	1653
131	249	1641
132	250	1630
133	250	1619
134	251	1609
135	251	1598
136	253	1594
137	253	1586
138	254	1579
139	255	1571
140	256	1562
141	256	1552
142	257	1542
143	257	1532
144	258	1523
145	258	1513
146	259	1504
147	259	1495
148	260	1485
149	260	1476
150	261	1468
151	261	1459
152	262	1450
153	262	1442
154	263	1433
155	263	1425
